image_url,game_id,current_club_name,season,name,position,name,sub_position,country_of_citizenship,goals,assists,minutes_played,market_value_in_eur,yellow_cards,red_cards
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2700633,Ajax Amsterdam,2016,Heiko Westermann,Defender,eredivisie,Centre-Back,Germany,0,0,3,,1,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2700660,Ajax Amsterdam,2016,Heiko Westermann,Defender,eredivisie,Centre-Back,Germany,0,0,45,,0,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2700914,Ajax Amsterdam,2016,Heiko Westermann,Defender,eredivisie,Centre-Back,Germany,0,0,90,,0,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2700929,Ajax Amsterdam,2016,Heiko Westermann,Defender,eredivisie,Centre-Back,Germany,0,0,19,,0,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2756542,Ajax Amsterdam,2016,Heiko Westermann,Defender,toto-knvb-beker,Centre-Back,Germany,0,0,90,,1,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2765894,Ajax Amsterdam,2016,Heiko Westermann,Defender,europa-league,Centre-Back,Germany,0,0,90,,0,0
https://img.a.transfermarkt.technology/portrait/header/1726-1447257388.jpg?lm=1,2805654,Ajax Amsterdam,2016,Heiko Westermann,Defender,europa-league,Centre-Back,Germany,0,0,4,,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,2919785,Ajax Amsterdam,2017,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,56,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,2919863,Ajax Amsterdam,2017,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,1,0,90,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,2919902,Ajax Amsterdam,2017,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,90,6500000,1,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3097965,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,1,0,90,6500000,1,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3097989,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,0,0,82,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3098006,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,0,0,90,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3098022,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,0,0,57,6500000,1,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3098038,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,0,0,6,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3098054,Ajax Amsterdam,2018,Florian Grillitsch,Midfield,uefa-champions-league,Defensive Midfield,Austria,0,0,90,6500000,1,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3462279,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,45,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3462291,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,1,0,77,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3462326,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,1,0,45,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3462339,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,78,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3462363,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,32,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3496479,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,28,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3496494,Ajax Amsterdam,2020,Florian Grillitsch,Midfield,europa-league,Defensive Midfield,Austria,0,0,90,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3839700,Ajax Amsterdam,2022,Florian Grillitsch,Midfield,eredivisie,Defensive Midfield,Austria,0,0,30,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3852567,Ajax Amsterdam,2022,Florian Grillitsch,Midfield,eredivisie,Defensive Midfield,Austria,0,0,63,6500000,0,0
https://img.a.transfermarkt.technology/portrait/header/195736-1682331274.jpg?lm=1,3852575,Ajax Amsterdam,2022,Florian Grillitsch,Midfield,eredivisie,Defensive Midfield,Austria,0,0,17,6500000,0,0
